Player,Position,Player,,,,,,,,,,,,,,,,,,,
Stephanie Jones,,Stephanie,Jones,,,,,,,,,,,,,,,,,,
Stephanie Mawuli,,Stephanie,Mawuli,,,,,,,,,,,,,,,,,,
Stephanie Soares,Center,Stephanie,Soares,,,,,,,,,,,,,,,,,,
Stephanie Talbot,Forward,Stephanie,Talbot,,,,,,,,,,,,,,,,,,
Stephanie Watts,,Stephanie,Watts,,,,,,,,,,,,,,,,,,
Sug Sutton,Guard,Sug,Sutton,,,,,,,,,,,,,,,,,,
Sydney Colson,Guard,Sydney,Colson,,,,,,,,,,,,,,,,,,
Sydney Wiese,Guard,Sydney,Wiese,,,,,,,,,,,,,,,,,,
Taiyanna Jackson,,Taiyanna,Jackson,,,,,,,,,,,,,,,,,,
Taja Cole,,Taja,Cole,,,,,,,,,,,,,,,,,,
Taya Reimer,,Taya,Reimer,,,,,,,,,,,,,,,,,,
Taylor Mikesell,Guard,Taylor,Mikesell,,,,,,,,,,,,,,,,,,
Taylor Soule,Forward,Taylor,Soule,,,,,,,,,,,,,,,,,,
Taylor Thierry,Forward,Taylor,Thierry,,,,,,,,,,,,,,,,,,
Teaira McCowan,Center,Teaira,McCowan,,,,,,,,,,,,,,,,,,
Te-Hina Paopao,Guard,Te-Hina,Paopao,,,,,,,,,,,,,,,,,,
Temi Fágbénlé,Center,Temi,Fágbénlé,,,,,,,,,,,,,,,,,,
Temi Fagbenle,Center,Temi,Fagbenle,,,,,,,,,,,,,,,,,,
Temira Poindexter,,Temira,Poindexter,,,,,,,,,,,,,,,,,,
Theresa Plaisance,,Theresa,Plaisance,,,,,,,,,,,,,,,,,,
Tianna Hawkins,Forward,Tianna,Hawkins,,,,,,,,,,,,,,,,,,
Tiffany Hayes,Guard,Tiffany,Hayes,,,,,,,,,,,,,,,,,,
Tiffany Mitchell,Guard,Tiffany,Mitchell,,,,,,,,,,,,,,,,,,
Tina Charles,Center,Tina,Charles,,,,,,,,,,,,,,,,,,
Tyasha Harris,Guard,Tyasha,Harris,,,,,,,,,,,,,,,,,,
