date,player,offerName,over_under,line,americanOdds,sportsbook,game_time
2025-08-20,Satou Sabally,Rebounds,Under,5.5,115,BetOnline,2025-08-20T02:00:00
2025-08-20,Cecilia Zandalasini,Rebounds,Over,3.5,-130,BetOnline,2025-08-20T02:00:00
2025-08-20,Cecilia Zandalasini,Rebounds,Under,3.5,100,BetOnline,2025-08-20T02:00:00
2025-08-20,Brionna Jones,Rebounds,Over,6.5,110,BetOnline,2025-08-20T02:00:00
2025-08-20,Brionna Jones,Rebounds,Under,6.5,-143,BetOnline,2025-08-20T02:00:00
2025-08-21,Dearica Hamby,Rebounds,Over,7.5,103,BetOnline,2025-08-21T02:00:00
2025-08-21,Dearica Hamby,Rebounds,Under,7.5,-133,BetOnline,2025-08-21T02:00:00
2025-08-21,Azurá Stevens,Rebounds,Over,6.5,-154,BetOnline,2025-08-21T02:00:00
2025-08-21,Azurá Stevens,Rebounds,Under,6.5,118,BetOnline,2025-08-21T02:00:00
2025-08-21,Maddy Siegrist,Rebounds,Over,4.5,-159,BetOnline,2025-08-21T02:00:00
2025-08-21,Maddy Siegrist,Rebounds,Under,4.5,122,BetOnline,2025-08-21T02:00:00
2025-08-21,Paige Bueckers,Rebounds,Over,4.5,103,BetOnline,2025-08-21T02:00:00
2025-08-21,Paige Bueckers,Rebounds,Under,4.5,-133,BetOnline,2025-08-21T02:00:00
2025-08-21,Julie Allemand,Rebounds,Over,4.5,106,BetOnline,2025-08-21T02:00:00
2025-08-21,Julie Allemand,Rebounds,Under,4.5,-137,BetOnline,2025-08-21T02:00:00
2025-08-21,Cameron Brink,Rebounds,Over,4.5,132,BetOnline,2025-08-21T02:00:00
2025-08-21,Cameron Brink,Rebounds,Under,4.5,-172,BetOnline,2025-08-21T02:00:00
2025-08-21,Rickea Jackson,Rebounds,Over,3.5,-110,BetOnline,2025-08-21T02:00:00
2025-08-21,Rickea Jackson,Rebounds,Under,3.5,-118,BetOnline,2025-08-21T02:00:00
2025-08-21,Kelsey Plum,Rebounds,Over,3.5,103,BetOnline,2025-08-21T02:00:00
2025-08-21,Kelsey Plum,Rebounds,Under,3.5,-133,BetOnline,2025-08-21T02:00:00
2025-08-19,Courtney Williams,Assists,Over,6.5,110,BetOnline,2025-08-19T23:00:00
2025-08-19,Courtney Williams,Assists,Under,6.5,-143,BetOnline,2025-08-19T23:00:00
2025-08-19,Natasha Cloud,Assists,Over,4.5,-130,BetOnline,2025-08-19T23:00:00
2025-08-19,Natasha Cloud,Assists,Under,4.5,100,BetOnline,2025-08-19T23:00:00
2025-08-19,Sabrina Ionescu,Assists,Over,4.5,118,BetOnline,2025-08-19T23:00:00
